scientificName	nuccoreAcc	taxid	parent	source
Acholeplasma_laidlawii	CP000896	441768	2148	NCBI-REF
Acinetobacter_baumannii	CP045110	470	909768	NCBI-REF
Acinetobacter_pittii	CP002177	871585	48296	NCBI-REF
Actinobacillus_pleuropneumoniae	CP030753	715	713	NCBI-REF
Aeromonas_hydrophila	CP000462	380703	196023	NCBI-REF
Aggregatibacter_aphrophilus	LR134327	985008	732	NCBI-REF
Agrobacterium_fabrum	AE007869	176299	1176649	NCBI-REF
Agrobacterium_fabrum	AE007870	176299	1176649	NCBI-REF
Aliivibrio_fischeri	CP000020	668	511678	NCBI-REF
Aliivibrio_fischeri	CP000021	668	511678	NCBI-REF
Alkaliphilus_transvaalensis	CP000724	208226	114627	NCBI-REF
Amycolatopsis_mediterranei	CP002896	33910	1813	NCBI-REF
Aquifex_aeolicus	AE000657	63363	2713	NCBI-REF
Arcobacter_bivalviorum	CP031217	663364	2321115	NCBI-REF
Aliarcobacter_cibarius	CP043857	255507	2321111	CDC SME
Arcobacter_ellisii	CP032097	913109	28196	CDC SME
Malaciobacter_halophilus	CP031218	197482	2321114	NCBI-REF
Malaciobacter_molluscorum	CP032098	1032072	2321114	NCBI-REF
Malaciobacter_mytili	CP031219	603050	2321114	NCBI-REF
Aliarcobacter_skirrowii	CP032099	28200	2321111	NCBI-REF
Arcobacter_suis	CP032100	1278212	28196	NCBI-REF
Aliarcobacter_thereius	CP035926	544718	2321111	NCBI-REF
Aliarcobacter_trophiarum	CP031367	708186	2321111	NCBI-REF
Arripis_trutta	AP006810	270544	163128	UGA SME
Atlantibacter_hermannii	CP042941	565	1903434	CDC SME
Bacillus_cereus	AP007209	1396	86661	CDC SME
Bacillus_pumilus	CP000813	1408	1386	NCBI-REF
Bacillus_subtilis	AL009126	1423	653685	CDC SME
Bacillus_thuringiensis	AE017355	1428	86661	CDC SME
Bacteroides_fragilis	CR626927	817	816	NCBI-REF
Bacteroides_thetaiotaomicron	CP040530	818	816	NCBI-REF
Bartonella_bacilliformis	CP000524	774	773	NCBI-REF
Betacoronavirus_pandemicum_sars2	MT233526	2697049	3418604	CDC SME
Bifidobacterium_bifidum	CP058603	1681	1678	NCBI-REF
Bifidobacterium_longum	AP010888	216816	1678	NCBI-REF
Bordetella_bronchiseptica	LR134326	518	517	NCTC3000
Bordetella_holmesii	CP085973	35814	517	NCBI-REF
Bordetella_parapertussis	CP085971	519	517	NCBI-REF
Bordetella_pertussis	CP010964	520	517	CDC SME
Borreliella_burgdorferi	AE000783	139	64895	CDC SME
Bos_taurus	KC153975	9913	9903	UGA SME
Brachybacterium_faecium	CP001643	43669	43668	NCBI-REF
Bradyrhizobium_diazoefficiens	BA000040	1355477	374	NCBI-REF
Brassica_oleracea	JF920286	3712	3705	UGA SME
Brucella_abortus	AE017223	235	3703990	NCBI-REF
Brucella_abortus	AE017224	235	3703990	NCBI-REF
Brucella_melitensis	AE008917	29459	3703990	NCBI-REF
Brucella_melitensis	AE008918	29459	3703990	NCBI-REF
Buchnera_aphidicola	BA000003	9	32199	NCBI-REF
Bundibugyo_ebolavirus	NC_014373	565995	186536	NCBI-REF
Burkholderia_pseudomallei	BX571965	28450	111527	CDC SME
Burkholderia_pseudomallei	BX571966	28450	111527	CDC SME
Campylobacter_avium	CP022347	522484	522485	NCBI-REF
Campylobacter_coli	CP028187	195	194	CDC SME
Campylobacter_concisus	CP012541	199	194	CDC SME
Campylobacter_cuniculorum	CP020867	374106	194	CDC SME
Campylobacter_fetus	CP006833	196	194	CDC SME
Campylobacter_gracilis	CP012196	824	194	CDC SME
Campylobacter_helveticus	CP020478	28898	194	CDC SME
