scientificName	accession	taxid
Shigella boydii	CP026732	621
Shigella boydii CP026733	621
Shigella dysenteriae	CP024467	622
Shigella dysenteriae	CP024468	622
Shigella dysenteriae	CP024469	622
Shigella flexneri	CP034932	623
Shigella flexneri	CP034933	623
Shigella sonnei	CP022460	624
Shigella sonnei	CP022461	624
Escherichia albertii	NZ_CP024283	208962
Escherichia albertii	NZ_CP024284	208962
Escherichia albertii	NZ_CP024285	208962
Escherichia albertii	NZ_CP024286	208962
Escherichia albertii	NZ_CP024287	208962
Escherichia albertii	NZ_CP024288	208962
Cyanothece	NC_010539	43989
Cyanothece	NC_010541	43989
Cyanothece	NC_010542	43989
Cyanothece	NC_010543	43989
Arcobacter cibarius	NZ_CP043858	255507
Arcobacter mytili	NZ_CP031220	1032238
Campylobacter_coli	NZ_CP028188	195
Campylobacter cuniculorum	NZ_CP020868	1121267
Campylobacter cuniculorum	NZ_CP020869	1121267
Campylobacter lari	NC_012040	306263
Campylobacter peloridis	NZ_CP007767	1388753
Campylobacter peloridis	NZ_CP007768	1388753
Deinococcus radiodurans	NC_000958	243230
Deinococcus radiodurans	NC_000959	243230
Escherichia coli	NZ_CP027583	562
Escherichia fergusonii	NZ_CP042943	564
Escherichia fergusonii	NZ_CP042944	564
Leptospira biflexa	NC_010846	355278
Listeria_innocua	NZ_CP045744	1642
Listeria monocytogenes II XXXXXX	9000001
Salmonella enterica IIIa	UGXG01000001	9000014
Salmonella enterica I	AE006471	59201
Salmonella enterica IX	XXXXXX	XXXXXX
Salmonella enterica IX	XXXXXX	XXXXXX
Salmonella enterica IX	XXXXXX	XXXXXX
Salmonella enterica VIII	CP053317	9000009
Salmonella enterica X	NZ_CP053580	XXXXXX
Yersinia intermedia	XXXXXX	XXXXXX
Yersinia pestis	NZ_CP033697	632
Yersinia pestis	NZ_CP033698	632
Yersinia pestis	NZ_CP033700	632
Bacillus anthracis	NC_007323	261594
Bacillus anthracis	NC_007322	261594
plasmid	NZ_CP023971	28035
plasmid	NZ_CP026078	1280
plasmid	NZ_CP023509	43675
plasmid	NZ_CP023967	29388
plasmid	NZ_CP023496	1286
plasmid	NZ_CP022078	197
plasmid	NZ_CP023873	575
plasmid	NZ_CP023875	575
plasmid	NZ_CP023876	575
plasmid	NZ_CP045013	1352
plasmid	NC_010930	1685
plasmid	NZ_CP045014	1352
plasmid	NZ_CP023932	573
plasmid	NZ_CP023934	573
plasmid	NZ_CP023935	573
plasmid	NZ_CP023936	573
plasmid	NZ_CP023937	573
plasmid	NZ_CP023938	573
plasmid	NZ_CP023939	573
plasmid	NZ_CP023945	573
plasmid	NZ_CP024582	2018065
plasmid	NC_007068	1686
plasmid	NZ_CP023947	573
plasmid	NZ_CP024583	2018065
plasmid	NZ_CP023948	573
plasmid	NZ_CP024584	2018065
plasmid	NZ_CP024585	2018065
plasmid	NZ_CP024586	2018065
plasmid	NZ_CP024587	2018065
plasmid	NZ_CP024589	2018065
plasmid	NZ_CP023868	562
plasmid	NZ_CP023869	562
plasmid	NC_003239	1717
plasmid	NZ_CP023871	562
plasmid	NZ_CP023872	562
plasmid	NZ_CP023920	573
plasmid	NZ_CP023921	573
plasmid	NZ_CP023922	573
plasmid	NZ_CP023923	573
plasmid	NZ_CP023924	573
plasmid	NZ_CP023513	2060307
plasmid	NZ_CP023514	2060307
plasmid	NZ_CP014121	573
plasmid	NC_003227	1718
plasmid	NZ_CP014122	573
plasmid	NZ_CP014124	573
plasmid	NZ_CP014125	573
plasmid	NZ_CP023914	573
plasmid	NZ_CP023915	573
plasmid	NZ_CP023916	573
plasmid	NZ_CP023917	573
plasmid	NZ_CP023918	573
plasmid	NZ_CP023957	562
plasmid	NZ_CP023958	562
plasmid	NC_004833	1724
plasmid	NZ_CP023959	562
plasmid	NZ_CP023961	562
plasmid	NZ_CP014747	548
plasmid	NZ_CP023926	573
plasmid	NZ_CP023927	573
plasmid	NZ_CP023928	573
plasmid	NZ_CP023929	573
plasmid	NZ_CP023930	573
plasmid	NZ_CP023931	573
plasmid	NZ_CP023950	573
plasmid	NC_007101	2133
plasmid	NZ_CP023951	573
plasmid	NZ_CP023952	573
plasmid	NZ_CP023953	573
plasmid	NZ_CP023954	573
plasmid	NZ_CP023955	573
plasmid	NZ_CP023506	582
plasmid	NZ_CP044979	1428
plasmid	NZ_CP044980	1428
plasmid	NZ_CP044981	1428
plasmid	NZ_CP044982	1428
plasmid	NC_013777	273057
plasmid	NZ_CP018794	1660076
plasmid	NZ_CP018795	1660076
plasmid	NZ_CP018790	1660073
plasmid	NZ_CP018792	1660074
plasmid	NC_014754	709032
plasmid	NC_014755	709032
plasmid	NC_014756	709032
plasmid	NC_014763	709032
plasmid	NZ_CP014130	1282
plasmid	NZ_CP014131	1282
plasmid	NC_008318	2303
plasmid	NZ_CP021203	562
plasmid	NZ_CP021204	562
plasmid	NZ_CP021205	562
plasmid	NZ_CP021206	562
plasmid	NZ_CP021208	562
plasmid	NZ_CP021209	562
plasmid	NZ_CP021210	562
plasmid	NZ_CP027399	34105
plasmid	NZ_CP020404	747
plasmid	NZ_CP022091	29385
plasmid	NC_002093	28035
plasmid	NZ_CP022092	29385
plasmid	NZ_CP022094	29385
plasmid	NZ_CP027411	28901
plasmid	NZ_CP022066	28901
plasmid	NZ_CP022067	28901
plasmid	NZ_CP022068	28901
plasmid	NZ_CP015757	1552
plasmid	NZ_CP027413	90371
plasmid	NZ_CP027415	90371
plasmid	NZ_CP027416	90371
plasmid	NC_007621	29385
plasmid	NC_010262	1280
plasmid	NZ_CP027409	90371
plasmid	NZ_CP022060	28901
plasmid	NZ_CP022061	28901
plasmid	NZ_CP022063	28901
plasmid	NZ_CP022064	28901
plasmid	NZ_CP022065	28901
plasmid	NZ_CP022045	1392
plasmid	NZ_CP020416	485
plasmid	NZ_CP020417	485
plasmid	NZ_CP022042	330922
plasmid	NC_004308	33045
plasmid	NZ_CP027392	1038927
plasmid	NZ_CP027393	1038927
plasmid	NZ_CP027395	1038927
plasmid	NZ_CP027396	1038927
plasmid	NZ_CP020425	1496
plasmid	NZ_CP020426	1496
plasmid	NZ_CP014093	50719
plasmid	NZ_CP014052	663
plasmid	NZ_CP031397	139
plasmid	NZ_CP031398	139
plasmid	NC_004734	33059
plasmid	NZ_CP031399	139
plasmid	NZ_CP031400	139
plasmid	NZ_CP031401	139
plasmid	NZ_CP031402	139
plasmid	NZ_CP031403	139
plasmid	NZ_CP031404	139
plasmid	NZ_CP031405	139
plasmid	NZ_CP031406	139
plasmid	NZ_CP031407	139
plasmid	NZ_CP031408	139
plasmid	NC_010600	33059
plasmid	NZ_CP031409	139
plasmid	NZ_CP031410	139
plasmid	NZ_CP031411	139
plasmid	NZ_CP014126	470934
plasmid	NZ_CP014127	470934
plasmid	NZ_CP014128	470934
plasmid	NZ_CP023503	573
plasmid	NZ_CP024579	573
plasmid	NZ_CP024580	573
plasmid	NZ_CP024581	573
plasmid	NC_010847	34003
plasmid	NZ_CP020413	44275
plasmid	NZ_CP014074	562
plasmid	NZ_CP014075	562
plasmid	NZ_CP014076	562
plasmid	NZ_CP014077	562
plasmid	NZ_CP014078	562
plasmid	NZ_CP014079	562
plasmid	NZ_CP014080	562
plasmid	NZ_CP014081	562
plasmid	NZ_CP014082	562
plasmid	NC_010920	35770
plasmid	NZ_CP014083	562
plasmid	NZ_CP014084	562
plasmid	NZ_CP014085	562
plasmid	NZ_CP014086	562
plasmid	NZ_CP014087	562
plasmid	NZ_CP014088	562
plasmid	NZ_CP014089	562
plasmid	NZ_CP014090	562
plasmid	NZ_CP014091	562
plasmid	NZ_CP022071	90371
plasmid	NC_005913	37694
plasmid	NZ_CP022072	90371
plasmid	NZ_CP027406	2434
plasmid	NZ_CP027408	2434
plasmid	NZ_CP022090	1930557
plasmid	NZ_AP018672	573
plasmid	NZ_AP018673	573
plasmid	NZ_AP018674	573
plasmid	NZ_AP018675	573
plasmid	NZ_CP033731	1290
plasmid	NZ_CP033733	1290
plasmid	NC_014653	85581
plasmid	NZ_CP032824	1032070
plasmid	NZ_CP033781	1282
plasmid	NZ_CP033783	1282
plasmid	NZ_CP033734	29382
plasmid	NZ_CP033739	2420313
plasmid	NZ_CP033741	2420313
plasmid	NZ_CP034066	624
plasmid	NZ_CP034068	624
plasmid	NZ_CP034069	624
plasmid	NZ_CP034070	624
plasmid	NC_016983	85581
plasmid	NZ_CP033774	573
plasmid	NZ_CP033775	573
plasmid	NZ_CP033776	573
plasmid	NZ_CP033778	573
plasmid	NZ_CP033779	573
plasmid	NZ_CP033867	2420301
plasmid	NZ_CP034059	623
plasmid	NZ_CP034061	623
plasmid	NZ_CP034062	623
plasmid	NZ_CP034063	623
plasmid	NC_008441	39478
plasmid	NZ_CP034064	623
plasmid	NZ_CP034065	623
plasmid	NZ_CP033751	470
plasmid	NZ_CP033752	470
plasmid	NZ_CP033753	470
plasmid	NZ_CP033769	470
plasmid	NZ_CP033770	470
plasmid	NZ_CP033857	2420300
plasmid	NZ_CP033859	2420300
plasmid	NZ_CP033860	2420300
plasmid	NC_002175	40223
plasmid	NC_010260	119602
plasmid	NZ_CP033761	562
plasmid	NZ_CP033763	562
plasmid	NZ_CP033764	562
plasmid	NZ_CP033765	562
plasmid	NZ_CP033766	562
plasmid	NZ_CP033863	2420305
plasmid	NZ_CP033864	2420305
plasmid	NZ_CP033755	573
plasmid	NZ_CP033758	573
plasmid	NZ_CP033759	573
plasmid	NC_010933	1396
plasmid	NZ_CP033847	562
plasmid	NZ_CP033848	562
plasmid	NZ_CP033849	562
plasmid	NZ_CP033851	562
plasmid	NZ_CP033852	562
plasmid	NZ_CP033853	562
plasmid	NZ_CP033785	38289
plasmid	NZ_CP033786	38289
plasmid	NC_010604	216594
plasmid	NZ_AP018723	2211106
plasmid	NC_004852	43080
plasmid	NZ_CP033743	546
plasmid	NZ_CP033845	571
plasmid	NZ_CP033846	571
plasmid	NZ_CP020399	87883
plasmid	NZ_CP033788	2576356
plasmid	NZ_CP033789	2576356
plasmid	NZ_CP033790	2576356
plasmid	NZ_CP033791	2576356
plasmid	NZ_CP033792	2576356
plasmid	NZ_CP033793	2576356
plasmid	NC_004977	971
plasmid	NZ_CP033794	2576356
plasmid	NZ_CP033796	2576356
plasmid	NZ_CP033830	2420306
plasmid	NZ_AP017379	241368
plasmid	NZ_CP020393	60552
plasmid	NZ_CP041739	1157365
plasmid	NZ_CP041740	1157365
plasmid	NZ_CP036176	2153354
plasmid	NZ_CP022081	292
plasmid	NC_016045	971
plasmid	NZ_CP033968	82633
