species (conventional)	speciesICTV	species_id	genus	genus_id	assemblyAcc	ICTV VMR identifier
Human mastadenovirus A	Mastadenovirus adami	3241402	Mastadenovirus	10509	GCF_000846805.1	VMR1004774
Human mastadenovirus C	Mastadenovirus caesari	3703201	Mastadenovirus	10509	GCF_000845085.1	VMR1004776
Human mastadenovirus D	Mastadenovirus dominans	3241420	Mastadenovirus	10509	GCF_000845985.1	VMR1004777
Human mastadenovirus E	Mastadenovirus exoticum	3241425	Mastadenovirus	10509	GCF_000859665.1	VMR1004778
Human mastadenovirus B	Mastadenovirus blackbeardi	3241406	Mastadenovirus	10509	GCF_000880515.1	VMR1004775
Human mastadenovirus F	Mastadenovirus faecale	3241426	Mastadenovirus	10509	GCF_000846685.1	VMR1004779
Mammarenavirus lassaense	Mammarenavirus lassaense	3052310	Mammarenavirus	1653394	GCF_000851705.1	VMR1011064
Human coronavirus 229E	Alphacoronavirus chicagoense	3433756	Alphacoronavirus	693996	GCF_000853505.1	VMR1001257
Human coronavirus NL63	Alphacoronavirus amsterdamense	3433809	Alphacoronavirus	693996	GCF_000853865.1	VMR1001272
Human coronavirus HKU1	Betacoronavirus hongkongense	3433758	Betacoronavirus	694002	GCF_000858765.1	VMR1001279
Betacoronavirus 1	Betacoronavirus gravedinis	3433757	Betacoronavirus	694002	GCF_003972325.1	VMR1001277
Severe acute respiratory syndrome-related coronavirus	Betacoronavirus pandemicum	3418604	Betacoronavirus	694002	GCF_000864885.1	VMR1001290
Middle East respiratory syndrome-related coronavirus	Betacoronavirus cameli	3433633	Betacoronavirus	694002	GCF_000901155.1	VMR1001284
Coronavirus HKU15	Deltacoronavirus suis	3433742	Deltacoronavirus	1159901	GCF_002816235.1	VMR1001294
Orthomarburgvirus marburgense	Orthomarburgvirus marburgense	3052505	Orthomarburgvirus	3044783	GCF_000857325.3	VMR1010498
Orthoflavivirus denguei	Orthoflavivirus denguei	3052464	Orthoflavivirus	3044782	GCF_000871845.1	VMR1009067
Norwalk virus	Norovirus norwalkense	3431196	Norovirus	142786	GCF_000864005.1	VMR1001725
Sapporo virus	Sapovirus sapporoense	3432266	Sapovirus	95341	GCF_008792745.1	VMR1001728
Pegivirus hominis	Pegivirus hominis	3052608	Pegivirus	1307799	GCF_000862005.1	VMR1009113
Orthohantavirus hantanense	Orthohantavirus hantanense	3052480	Orthohantavirus	1980442	GCF_000856085.1	VMR1011154
Variola virus	Orthopoxvirus variola	3431487	Orthopoxvirus	10242	GCF_000859885.1	VMR1004289
Monkeypox virus	Orthopoxvirus monkeypox	3431483	Orthopoxvirus	10242	GCF_000857045.1	VMR1004284
Vaccinia virus	Orthopoxvirus vaccinia	10245	Orthopoxvirus	10242	GCF_000860085.1	VMR1004288
Molluscum contagiosum virus	Molluscipoxvirus molluscum	3430922	Molluscipoxvirus	10278	GCF_000843325.1	VMR1004277
Hepatitis B virus	Orthohepadnavirus hominoidei	3431302	Orthohepadnavirus	10405	GCF_000861825.2	VMR1003513
Orthonairovirus nairobiense	Orthonairovirus nairobiense	3052529	Orthonairovirus	1980517	GCF_002117695.1	VMR1011214
Alphainfluenzavirus influenzae	Alphainfluenzavirus influenzae	2955291	Alphainfluenzavirus	197911	GCF_000865725.1	VMR1001046
