scientificName	nuccoreAcc	taxid	parent	source
Mastadenovirus_adami	X73487.1	3241402	10509	ICTV
Mastadenovirus_caesari	J01917.1	3241411	10509	ICTV
Mastadenovirus_dominans	AJ854486.1	3241420	10509	ICTV
Mastadenovirus_exoticum	AY487947.1	3241425	10509	ICTV
Mastadenovirus_blackbeardi	DQ086466.1	3241406	10509	ICTV
Mastadenovirus_faecale	L19443.1	3241426	10509	ICTV
Mammarenavirus_lassaense	U73034.2	3052310	1653394	ICTV
Mammarenavirus_lassaense	J04324.1	3052310	1653394	ICTV
Alphacoronavirus_chicagoense	AF304460.1	3433756	2509480	ICTV
Alphacoronavirus_amsterdamense	AY567487.2	3433809	2509512	ICTV
Betacoronavirus_hongkongense	AY597011.2	3433758	2509481	ICTV
Betacoronavirus_gravedinis	AY585228.1	3433757	2509481	ICTV
Betacoronavirus_pandemicum	AY274119.3	3418604	2509511	ICTV
Betacoronavirus_cameli	JX869059.2	3433633	2509494	ICTV
Deltacoronavirus_suis	JQ065043.2	3433742	2509474	ICTV
Orthomarburgvirus_marburgense	DQ217792.2	3052505	3044783	ICTV
Orthoflavivirus_denguei	U87411.1	3052464	3700964	ICTV
Norovirus_norwalkense	M87661.2	3431196	142786	ICTV
Sapovirus_sapporoense	HM002617.1	3432266	95341	ICTV
Pegivirus_hominis	U44402.1	3052608	1307799	ICTV
Orthohantavirus_hantanense	M14627.1	3052480	1980442	ICTV
Orthohantavirus_hantanense	M14626.1	3052480	1980442	ICTV
Orthohantavirus_hantanense	X55901.1	3052480	1980442	ICTV
Orthopoxvirus_variola	X69198.1	3431487	10242	ICTV
Orthopoxvirus_monkeypox	AF380138.1	3431483	10242	ICTV
Orthopoxvirus_vaccinia	AY243312.1	10245	10242	ICTV
Molluscipoxvirus_molluscum	U60315.1	3430922	10278	ICTV
Orthohepadnavirus_hominoidei	V01460.1	3431302	10405	ICTV
Orthonairovirus_nairobiense	KM464726.1	3052529	1980517	ICTV
Orthonairovirus_nairobiense	KM464725.1	3052529	1980517	ICTV
Orthonairovirus_nairobiense	KM464724.1	3052529	1980517	ICTV
Alphainfluenzavirus_influenzae	V01106.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02147.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02146.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02151.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	J02150.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V01099.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V01088.1	2955291	197911	ICTV
Alphainfluenzavirus_influenzae	V00603.1	2955291	197911	ICTV
Betainfluenzavirus_influenzae	K00423.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02096.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02095.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	J02094.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	K01395.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	AF102017.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	AF101982.1	2955465	197912	ICTV
Betainfluenzavirus_influenzae	M14880.1	2955465	197912	ICTV
Deltainfluenzavirus_influenzae	JQ922308.1	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922306.1	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922311.1	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922310.1	2955744	1511083	ICTV
Deltainfluenzavirus_influenzae	JQ922309.1	2955744	1511083	ICTV
