scientificName	nuccoreAcc	taxid
Enterobacteriaceae	CP018694	543
Enterobacteriaceae	CP045282	543
Klebsiella	CP034325	570
Klebsiella	AB715422	570
Enterobacterales	HG934082	91347
Enterobacterales	CP011656	91347
Enterobacterales	CP011640	91347
Enterobacterales	KP025948	91347
Enterobacterales	AY422214	91347
Enterobacterales	KJ541681	91347
Enterobacterales	CP042490	91347
Enterobacterales	KM877517	91347
Enterobacterales	CP017282	91347
Enterobacterales	AP018454	91347
Enterobacterales	JQ418542	91347
Enterobacterales	HQ451074	91347
Enterobacterales	CP018974	91347
Enterobacterales	CP015075	91347
Enterobacterales	CP026188	91347
Staphylococcus	EU930825	1279
Staphylococcus	FJ207465	1279
Prevotella dentalis	CP003370	52227
Staphylococcus epidermidis	GQ900460	1282
Staphylococcus epidermidis	AE015931	1282
Bacteria	CP003371	2
Staphylococcus aureus	CP013622	1280
Staphylococcus sciuri	AF093750	1296
Staphylococcaceae	CP014375	90964
Staphylococcus aureus	KC895984	1280
Staphylococcus	KM276080	1279
Staphylococcus hyicus	KM276082	1284
Staphylococcus aureus	NC_002096	1280
Staphylococcus aureus	NC_002129	1280
Lysinibacillus sphaericus	AY325804	1421
Gluconacetobacter diazotrophicus	AM889286	33996
Frankia symbiont of Datisca glomerata	CP002802	656024
Enterobacteriaceae	CP011981	543
Enterobacteriaceae	CP023916	543
Enterobacteriaceae	HG969999	543
Enterobacteriaceae	CP024040	543
Klebsiella pneumoniae	CP029723	573
Klebsiella pneumoniae	JX442977	573
Klebsiella pneumoniae	AP018834	573
Klebsiella pneumoniae	CP023841	573
Enterobacter cloacae	CP035637	550
Klebsiella pneumoniae	CP023948	573
Klebsiella pneumoniae	MK649823	573
Klebsiella pneumoniae	CP033947	573
Klebsiella pneumoniae	KF295829	573
Klebsiella pneumoniae	CP012566	573
Enterobacteriaceae	CP026280	543
Enterobacteriaceae	CP026212	543
Enterobacteriaceae	MF156708	543
Enterobacteriaceae	KP125893	543
Klebsiella pneumoniae	CP026173	573
Enterobacteriaceae	CP026185	543
Enterobacteriaceae	CP038279	543
Klebsiella pneumoniae	CP011999	573
Enterobacteriaceae	CP008932	543
Enterobacteriaceae	CP041250	543
Klebsiella oxytoca	CP011630	571
Escherichia coli	CP019904	562
Klebsiella quasipneumoniae	CP026370	1463165
Klebsiella pneumoniae	CP026180	573
Klebsiella pneumoniae	CP017935	573
Klebsiella pneumoniae	CP040994	573
Klebsiella pneumoniae	CP033395	573
Klebsiella pneumoniae	CP028582	573
Klebsiella pneumoniae	KP893385	573
Klebsiella pneumoniae	CP029230	573
Klebsiella pneumoniae	MK433206	573
Klebsiella pneumoniae	CP028796	573
Klebsiella pneumoniae	CP024484	573
Klebsiella pneumoniae	CP024543	573
Klebsiella pneumoniae	CP018670	573
Serratia marcescens	CP020508	615
Enterobacterales	AP019405	91347
Enterobacterales	CP042513	91347
Enterobacterales	CP013323	91347
Enterobacterales	CP007734	91347
Enterobacterales	CP023893	91347
Enterobacterales	CP041514	91347
Enterobacterales	CP032169	91347
Enterobacterales	AP014952	91347
Enterobacteriaceae	JN935899	543
Enterobacteriaceae	CP014069	543
Enterobacteriaceae	CP032305	543
Klebsiella aerogenes	CP026758	548
Enterobacteriaceae	KR822247	543
Enterobacteriaceae	CP028781	543
Enterobacteriaceae	KX960110	543
Enterobacterales	CP020839	91347
Enterobacterales	KX214669	91347
Enterobacterales	CP036195	91347
Enterobacterales	JX104759	91347
Enterobacterales	MF344560	91347
Enterobacterales	CP031884	91347
Enterobacterales	KU647721	91347
Salmonella enterica	CP045055	28901
Enterobacteriaceae	MF150120	543
Enterobacteriaceae	MK264769	543
Pantoea stewartii	CP017584	66269
Enterobacter cloacae	CP039312	550
Klebsiella oxytoca	CP011633	571
Escherichia coli	CP010166	562
Enterobacteriaceae	CP042480	543
Enterobacteriaceae	CP026241	543
Enterobacteriaceae	CP011654	543
Enterobacteriaceae	AP018569	543
Enterobacterales	KC887916	91347
Enterobacterales	CP023554	91347
Enterobacterales	CP014297	91347
Citrobacter sp. CF971	CP041050	2566012
Klebsiella pneumoniae	CP044037	573
Klebsiella	CP022443	570
Klebsiella	MH909332	570
Enterobacteriaceae	CP031940	543
Enterobacteriaceae	CP045065	543
Enterobacteriaceae	CP026182	543
Enterobacteriaceae	CP007735	543
Enterobacteriaceae	CP025213	543
Enterobacteriaceae	MF510424	543
Enterobacteriaceae	CP026720	543
Enterobacter cloacae	CP032292	550
Escherichia coli	CP025740	562
Escherichia coli	CP040383	562
Citrobacter portucalensis	CP039329	1639133
Klebsiella quasipneumoniae	CP034140	1463165
Enterobacter cloacae	CP039313	550
Enterobacteriaceae	CP026237	543
Enterobacteriaceae	CP022155	543
Escherichia coli	CP026404	562
Escherichia coli	CP026206	562
Escherichia coli	CP030920	562
Desulfovibrio vulgaris	CP002298	881
Chlamydia pecorum	KT223768	85991
Chlamydia gallinacea	CP015841	1457153
Chlamydia avium	CP006572	1457141
Chlamydia	CP003818	810
Chlamydia	CP031647	810
Chlamydia felis	AP006862	83556
