scientificName	nuccoreAcc	taxid	parent
Acholeplasma_laidlawii	CP000896	2148	2147
Acinetobacter_baumannii	CP045110	509170	470
Acinetobacter_pittii	CP002177	48296	909768
Agrobacterium_fabrum	AE007869	1176649	1183400
Agrobacterium_fabrum	AE007870	1176649	1183400
Alkaliphilus_transvaalensis	CP000724	208226	114627
Aliivibrio_fischeri	CP000021	668	511678
Aliivibrio_fischeri	CP000020	668	511678
Amycolatopsis_mediterranei	CP002896	33910	1813
Aquifex_aeolicus	AE000657	63363	2713
Arcobacter_bivalviorum	CP031217	663364	2321115
Arcobacter_ellisii	CP032097	913109	28196
Arcobacter_cibarius	CP043857	255507	28196
Arcobacter_halophilus	CP031218	197482	28196
Arcobacter_molluscorum	CP032098	1032072	28196
Arcobacter_mytili	CP031219	603050	28196
Arcobacter_skirrowii	CP032099	28200	28196
Arcobacter_suis	CP032100	1278212	28196
Arcobacter_thereius	CP035926	544718	28196
Arcobacter_trophiarum	CP031367	708186	28196
Arripis_trutta	AP006810	270544	163128
Atlantibacter_hermannii	CP042941	565	1903434
Bacillus_cereus	AP007209	1396	86661
Bacillus_subtilis	AL009126	1423	653685
Bacillus_thuringiensis	AE017355	1428	86661
Bacteroides_fragilis	CR626927	817	816
Bacteroides_thetaiotaomicron	CP040530	818	816
Bartonella_bacilliformis	CP000524	774	773
Betacoronavirus_coronavirus	MT233526	2697049	694009
Bifidobacterium_bifidum	CP058603	1681	1678
Bifidobacterium_longum	AP010888	216816	1678
Bordetella_bronchiseptica	LR134326	518	517
Borreliella_burgdorferi	AE000783	139	64895
Bos_taurus	KC153975	9913	9903
Brachybacterium_faecium	CP001643	43669	43668
Bradyrhizobium_diazoefficiens	BA000040	1355477	374
Brassica_oleracea	JF920286	3712	3705
Buchnera_aphidicola	BA000003	9	32199
Burkholderia_pseudomallei	BX571965	28450	111527
Burkholderia_pseudomallei	BX571966	28450	111527
Campylobacter_avium	CP022347	522484	522485
Campylobacter_coli	CP028187	195	194
Campylobacter_concisus	CP012541	199	194
Campylobacter_cuniculorum	CP020867	374106	194
Campylobacter_fetus	CP006833	196	194
Campylobacter_gracilis	CP012196	824	194
Campylobacter_helveticus	CP020478	28898	194
