Arcobacter butzleri	XXXXXX	28197	28196
Arcobacter cloacae	XXXXXX	1054034	28196
Arcobacter cryaerophilus	XXXXXX	28198	28196
Arcobacter nitrofigilis	XXXXXX	28199	28196
Arcobacter venerupis	XXXXXX	1054033	28196
Campylobacter canadensis	XXXXXX	449520	194
Campylobacter corcagiensis	XXXXXX	1448857	194
Campylobacter curvus	XXXXXX	200	194
Campylobacter iguaniorum	XXXXXX	1244531	194
Campylobacter jejuni doylei	XXXXXX	32021	197
Campylobacter mucosalis	XXXXXX	202	194
Campylobacter rectus	XXXXXX	203	194
Campylobacter showae	XXXXXX	204	194
Campylobacter upsaliensis	XXXXXX	28080	194
Helicobacter bilis	XXXXXX	37372	209
Helicobacter cinaedi	XXXXXX	213	209
Helicobacter pullorum	XXXXXX	35818	209
Helicobacter winghamensis	XXXXXX	157268	209
Helicobacter valdiviensis	XXXXXX	1458358	209
Caulobacter	CP000927	366602	2648921
Francisella philomiragia	CP000937	28110	262
Pseudomonas putida	CP000949	390235	303
Yersinia pseudotuberculosis	CP000950	502800	633
Polynucleobacter necessarius	CP001010	576610	44013
Fusobacterium nucleatum	NC_003454	851	848
Streptomyces coelicolor	NC_003888	1902	1477431
Moorella thermoacetica	NC_007644	1525	44260
Yersinia pseudotuberculosis	NC_010465	502800	633
