Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	National Center for Biotechnology Information, NIH
NC_008570	The Institute for Genomic Research
NC_003062	Virginia Polytechnic Institute and State University	Cereon Genomics	Cereon Genomics
NC_003063	Virginia Polytechnic Institute and State University	Cereon Genomics	Cereon Genomics
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_006841	University of Hawaii	University of Wisconsin School of Medicine and Public Health
NC_006840	University of Hawaii	University of Wisconsin School of Medicine and Public Health
NC_014318	Shanghai Institutes for Biological Sciences, CAS
NC_000918	Genomics
Stanford University	National Center for Biotechnology Information, NIH
CP042941	CDC
NC_005957	Joint Genome Institute, Department of Energy	Joint Genome Institute, Department of Energy
NC_004663	Washington University in St. Louis	Washington University in St. Louis
NC_014638	University of Parma
NC_004307	Nestle Research Center	Nestle Research Center
NC_001318	The Institute for Genomic Research	Institute for Genome Sciences
US DOE Joint Genome Institute	US DOE Joint Genome Institute
Nanjing Agricultural University	National Center for Biotechnology Information, NIH
USDA, ARS, WRRC	USDA, ARS, WRRC
USDA, ARS	USDA, ARS	USDA, ARS, WRRC
USDA, ARS, WRRC	USDA, ARS, WRRC
Utrecht University	Utrecht University
USDA, ARS	USDA, ARS	USDA, ARS, WRRC
NZ_CP020478	USDA, ARS	USDA, ARS
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
USDA, ARS	USDA, ARS, WRRC
University of Chicago	University of Chicago	University of Chicago	University of Chicago	University of Chicago	University of Chicago	University of Chicago	National Center for Biotechnology Information, NIH
NC_000922	University of California
University of California	University of California	National Center for Biotechnology Information, NIH
NC_002932	The Institute for Genomic Research
NC_010175	US DOE Joint Genome Institute	US DOE Joint Genome Institute
US Food and Drug Administration	University of Maryland
NC_003030	Genome Therapeutics Corp.
Los Alamos National Laboratory	Los Alamos National Laboratory
NC_010723	Los Alamos National Laboratory	Los Alamos National Laboratory	Los Alamos National Laboratory
NC_010516	Los Alamos National Laboratory	J. Craig Venter Institute
NC_008262	The Institute for Genomic Research	J. Craig Venter Institute
Centers for Disease Control and Prevention	Centers for Disease Control and Prevention
The Institute for Genomic Research	Rocky Mountain Laboratories, National Institute of Allergy and Infectious Diseases	National Center for Biotechnology Information, NIH
CM000429	University of Minnesota
CM000430	University of Minnesota
CM000431	University of Minnesota
CM000432	University of Minnesota
CM000433	University of Minnesota
CM000434	University of Minnesota
CM000435	University of Minnesota
CM000436	University of Minnesota
NC_001263	The Institute for Genomic Research
NC_001264	The Institute for Genomic Research
NC_002937	The Institute for Genomic Research
NC_011661	US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_014121	Nankai University
NC_004668	The Institute for Genomic Research
NC_017960	Baylor College of Medicine
CP024282	CDC
CP027582	CDC
CP042945	CDC
NC_014644	Baylor College of Medicine
NC_002939	The Institute for Genomic Research	University of Massachusetts Amherst
CP035690	CDC
CP035691	CDC
The Institute for Genomic Research	The Institute for Genomic Research	The Institute for Genomic Research
US DOE Joint Genome Institute	US DOE Joint Genome Institute
The Institute for Genomic Research	The Institute for Genomic Research
Translational Genomics Research Institute	Translational Genomics Research Institute
Emory University School of Medicine	Center for Molecular and Mitochondrial Medicine and Genetics (MAMMAG) University of California, University of California, Irvine	National Center for Biotechnology Information, NIH
xiamen university	National Center for Biotechnology Information, NIH
NC_017384	State Key Laboratory of Food Science and Technology
NC_015663	Macrogen Inc.
Shanghai Jiaotong University	National Center for Biotechnology Information, NIH
NC_006814	North Carolina State University	North Carolina State University	North Carolina State University
NC_008526	US DOE Joint Genome Institute
NC_007929	Alimentary Pharmabiotic Centre, University College Cork
NC_002662	Genetique Microbienne
NC_002942	Columbia University	Columbia University
NC_004342	Chinese National Human Genome Center at Shanghai	Shanghai Jiao Tong University/Chinese National HGC, Shanghai	Shanghai Jiao Tong University/Chinese National HGC, Shanghai
US DOE Joint Genome Institute	US DOE Joint Genome Institute
Food and Drug Administration-College Park	US Food and Drug Administration
CM001047	Life Technologies
Centers for Disease Control and Prevention	PulseNet Next Generation Subtyping Methods Unit
Centers for Disease Control and Prevention	PulseNet Next Generation Subtyping Methods Unit
Centers for Disease Control and Prevention	PulseNet Next Generation Subtyping Methods Unit
NC_006055	Broad Institute	Massachusetts Institute of Technology
NC_014923	US DOE Joint Genome Institute	US DOE Joint Genome Institute
US DOE Joint Genome Institute	US DOE Joint Genome Institute
US DOE Joint Genome Institute	US DOE Joint Genome Institute
US DOE Joint Genome Institute	US DOE Joint Genome Institute
Changhua Christian Hospital; Providence University	National Tsing Hua University
NC_008596	The Institute for Genomic Research
NC_002946	University of Oklahoma Health Sciences Center	University of Oklahoma Health Sciences Center
NC_003112	The Institute for Genomic Research	The Institute for Genomic Research
Forestry and Agricultural Biotechnology Institute	Forestry and Agricultural Biotechnology Institute
CP046752	CDC
CP046751	CDC
NC_005042	Station Biologique de Roscoff
NC_022000	Harvard University
University Of Washington	Simon Fraser University	Simon Fraser University	Simon Fraser University	Simon Fraser University	National Center for Biotechnology Information, NIH
NC_004578	The Institute for Genomic Research	Plant Science Building, Cornell University	Plant Science Building, Cornell University	Plant Science Building, Cornell University	Plant Science Building, Cornell University	Plant Science Building, Cornell University	Plant Science Building, Cornell University	Plant Science Building, Cornell University
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_007494	US DOE Joint Genome Institute	US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_007493	US DOE Joint Genome Institute	US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_007643	US DOE Joint Genome Institute
NC_007677	The Institute for Genomic Research
CP053411	Centers for Disease Control and Prevention	EDLB-CDC
Washington University School of Medicine	University of California	Washington University School of Medicine
Centers for Disease Control and Prevention	PulseNet Next Generation Subtyping Methods Unit
Centers for Disease Control and Prevention	PulseNet Next Generation Subtyping Methods Unit
CP053318	EDLB-CDC
CP053406	Centers for Disease Control and Prevention	EDLB-CDC
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_004347	The Institute for Genomic Research	Pascific Northwest National Laboratory
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_012587	Goettingen Genomics Laboratory
NC_009636	US DOE Joint Genome Institute	US DOE Joint Genome Institute
Kyungpook university	Kyungpook university	National Center for Biotechnology Information, NIH
NZ_CP009554	Kyung Hee University	Kyung Hee University
NC_004461	Chinese National Human Genome Center at Shanghai
NC_004116	The Institute for Genomic Research
NC_004350	University of Oklahoma Health Sciences Center	University of Oklahoma Health Sciences Center
NC_002737	University of Oklahoma Health Sciences Center	Houston Methodist Research Institute
NC_009009	Philips Institute
INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA	INIA
NC_013522	US DOE Joint Genome Institute	US DOE Joint Genome Institute
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NC_011296	The J. Craig Venter Institute
NC_000853	The Institute for Genomic Research
NC_002967	The Institute for Genomic Research
J. Craig Venter Institute	The J. Craig Venter Institute
CP035699	CDC
CP035700	CDC
CP038178	CDC	CDC
CP038179	CDC	CDC
CP046804	CDC
CP046803	CDC
CP035697	CDC
CP035698	CDC
CP051126	CDC
CP051127	CDC
CP046797	CDC
CP046798	CDC
CP035692	CDC
CP035693	CDC
CP046817	CDC
CP046818	CDC
CP035684	CDC
CP035685	CDC
CP035682	CDC
CP035683	CDC
CP046791	CDC
CP046792	CDC
CP046828	CDC
CP046827	CDC
CP046832	CDC
CP046833	CDC
NC_003902	Universidade de Sao Paulo
US DOE Joint Genome Institute	US DOE Joint Genome Institute
NZ_CP043727	University College Dublin
NC_015224	Nankai University
NZ_CP032487	University College Dublin
CP045282	Lebanese American University
University of Oxford	University of Oxford
University of Oxford	University of Oxford
Michigan State University	Michigan State University
State University of New York at Albany	Albany Medical Center Hospital	Albany Medical Center Hospital	Albany Medical Center Hospital	Albany Medical Center Hospital
University of Hong Kong	University of Hong Kong
University of Oxford	University of Oxford
US DOE Joint Genome Institute	US DOE Joint Genome Institute
University of Georgia	J. Craig Venter Institute	University of Georgia
US DOE Joint Genome Institute	US DOE Joint Genome Institute
University of Alabama	University of Alabama	University of Alabama
Wuhan Institute of Virology, Chinese Academy of Sciences	Wuhan Institute of Virology, Chinese Academy of Sciences
US DOE Joint Genome Institute	US DOE Joint Genome Institute
MK649823	Central Clinical School Monash University
Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology
University of Oxford	University of Oxford
West China Hospital, Sichuan University	West China Hospital, Sichuan University	West China Hospital, Sichuan University
West China Hospital, Sichuan University	West China Hospital, Sichuan University	West China Hospital, Sichuan University
West China Hospital, Sichuan University	West China Hospital, Sichuan University
CP041514	Kyungpook National University
University of Maryland	US Food and Drug Administration
Seoul National University	Seoul National University
University of Sao Paulo - School of Farmacy	University of Sao Paulo - School of Farmacy
West China Hospital, Sichuan University	West China Hospital, Sichuan University	West China Hospital, Sichuan University
Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology
South China Agricultural University	South China Agricultural University	South China Agricultural University
Virginia Polytechnic Institute and State University	Virginia Polytechnic Institute and State University
University of Oxford	University of Oxford
Nanjing Agricultural University	Nanjing Agricultural University
University of Oxford	University of Oxford
Norwegian National Advisory Unit on Detection of Antimicrobial Resistance	University of KwaZulu Natal
USAMRIID	USAMRIID
West China Hospital, Sichuan University	West China Hospital, Sichuan University
JCVI	JCVI
Comenius University in Bratislava	Comenius University in Bratislava
US DOE Joint Genome Institute	US DOE Joint Genome Institute
Friedrich Schiller University	Institute for Genome Sciences, University of Maryland School of Medicine
Guangxi University	Guangxi University
DQ058601	Universidad de Santiago de Chile
Lucigen Corp.	Lucigen Corp.
West China Hospital, Sichuan University	West China Hospital, Sichuan University
West China Hospital, Sichuan University	West China Hospital, Sichuan University
National Health Research Institutes	National Health Research Institutes
University of Sydney	University of Sydney
Virginia Commonwealth University	Virginia Commonwealth University
University of Georgia	J. Craig Venter Institute	University of Georgia
Uniformed Services University of the Health Sciences	Uniformed Services University
University of Maryland	US Food and Drug Administration
Trchnical University of Copenhagen, DTU	Trchnical University of Copenhagen, DTU
Curtin University of Technology	Curtin University of Technology	Curtin University of Technology
US Food and Drug Administration	US Food and Drug Administration
US Food and Drug Administration	US Food and Drug Administration
University of Georgia	J. Craig Venter Institute	University of Georgia
West China Hospital, Sichuan University	West China Hospital, Sichuan University	West China Hospital, Sichuan University
Nanjing Agricultural University	Nanjing Agricultural University
Sun Yat-sen University	Sun Yat-sen University
JCVI	JCVI
JCVI	JCVI
Nanjing Agricultural University	Nanjing Agricultural University
West China Hospital, Sichuan University	West China Hospital, Sichuan University	West China Hospital, Sichuan University
Nanjing Agriculture University	Nanjing Agriculture University
Christian Medical College	Christian Medical College
Yale University	Yale University
JCVI	JCVI
University of Oxford	University of Oxford
New York Medical College	New York Medical College
Christian Medical College	Christian Medical College
University of Oxford	University of Oxford
Public Health England	Public Health England
Nanjing Agricultural University	Nanjing Agricultural University
Public Health Agency of Canada	Public Health Agency of Canada
CP025843	University of Maryland, School of Medicine
US DOE Joint Genome Institute	US DOE Joint Genome Institute
US DOE Joint Genome Institute	US DOE Joint Genome Institute
Nanjing Agricultural University	Nanjing Agricultural University
University of Hong Kong	University of Hong Kong
West China Hospital, Sichuan University	West China Hospital, Sichuan University
The Hong Kong Polytechnic University	The Hong Kong Polytechnic University
King Abdulaziz City for Science and Technology	King Abdulaziz City for Science and Technology
West China Hospital, Sichuan University	West China Hospital, Sichuan University
Christian Medical College	Christian Medical College
Seoul National University	Seoul National University
The Hong Kong Polytechnic University	The Hong Kong Polytechnic University
FDA-CVM	US Food and Drug Administration
Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology
University of Hong Kong	University of Hong Kong
Seoul National University	Seoul National University
Nanjing Agricultural University	Nanjing Agricultural University
NC_011964	University of Minnesota
Nanjing Agricultural University	Nanjing Agricultural University
FDA-CVM	US Food and Drug Administration
West China Hospital, Sichuan University	West China Hospital, Sichuan University
CP030785	CDC	CDC
Nanjing Agricultural University	Nanjing Agricultural University
CP025871	University of Maryland, School of Medicine
CP022913	CDC
CP025857	University of Maryland, School of Medicine
CP024258	CDC
CP025861	University of Maryland, School of Medicine
CP025905	University of Maryland, School of Medicine
CP024994	University of Hohenheim
Yonsei University	Yonsei University
Seoul National University	Seoul National University
Nanjing Agricultural University	Nanjing Agricultural University
CP035753	J. Craig Venter Institute	University of Maryland, School of Medicine
Gwangju Institute of Science and Technology	Gwangju Institute of Science and Technology
University College Cork	UCC_NEB_lactococcus
Wageningen University & Research	Wageningen University & Research
University College Cork	UCC_NEB_lactococcus
NC_004960	Universite Laval	Quest International
University College Cork	UCC_NEB_lactococcus
Northeast Agricultural University	Key Laboratory of Dairy Science, Ministry of Education
Universite Laval	Universite Laval
University College Cork	UCC_NEB_lactococcus
NC_002798	Universite Laval	Quest International
University College Cork	UCC_NEB_lactococcus
NIAB East Malling Research	NIAB East Malling Research
NIAB East Malling Research	NIAB East Malling Research
NIAB East Malling Research	NIAB East Malling Research
NIAB East Malling Research	NIAB East Malling Research
The Institute for Genomic Research	Cornell University
New Zealand Institute of Plant and Food Research	Plant and Food Research
NIAB East Malling Research	NIAB East Malling Research
